p-RRz6,The Faculty,1998,Rodriguez,13.790000
p-IG3,A View to A Kill,1985,Glen,5.320000
p-NiR4,The Man Who Fell to Earth,1976,Roeg,11.870000
p-RRz3,Desperado,1995,Rodriguez,11.650000
p-RSt320,Number Twenty-two,1957,R.Stevens,10.270000
p-RSt322,One for the Road,1957,R.Stevens,5.470000
p-RDo28,Cadillac Man,1990,Donaldson,16.270000
p-RSt324,The Hands of Mr.~Ottermole,1957,R.Stevens,8.840000
p-Z0210,Romeo and Juliet,1908,Unknown2,9.870000
p-IF135,Seven Women,1966,J.Ford,13.990000
p-CaB1,36 Fillette,1989,Breillat,12.120000
p-RSt319,Manacled,1957,R.Stevens,8.740000
p-FFf10,Spymaker,1990,Fairfax,9.190000
p-FM10,Tabu,1931,F.W.Murnau,10.030000
p-CuB37,The Merry Widow,1952,Bernhardt,15.520000
p-CCG1,The Sleeping Car Murders,1965,CostaGavras,11.000000
p-LMg10,The Advocate,1994,Megahey,17.379999
p-RoN18,The Poseidon Adventure,1972,Neame,10.500000
p-FdC16,Little Egypt,1951,deCordova,17.440001
p-RoN16,The Prime of Miss Jean Brodie,1968,Neame,9.820000
p-DaB13,You're a Sweetheart,1937,D.Butler,6.760000
p-MN6,The Fortune,1975,M.Nichols,17.709999
p-GAx1,Babette's Feast,1988,Axelrod,14.840000
p-MN2,The Graduate,1967,M.Nichols,12.820000
p-JGr30,Pattes Blanches,1949,Gremillon,6.040000
p-WHu7,Quackser Fortune Has a Cousin in the Bronx,1970,W.Hussein,5.370000
p-RDo20,No Way Out,1987,Donaldson,6.130000
p-RoA70,All the Marbles,1981,Aldrich,10.720000
p-HyA3,Chamber of Horrors,1970,Averback,18.809999
p-RiD1,The Schartz-Metterklume Method,1960,Dunlap,14.980000
p-StW7,White Woman,1933,S.Walker,5.950000
p-VSj1,Tradgardsmastaren,1912,Seastrom,5.130000
p-PlL2,The Cat and the Canary,1927,Leni,15.710000
p-WD102,Pinocchio,1939,Disney,9.580000
p-xAb1,Docks of New Orleans,1948,Abrahams,16.700001
p-VSj7,The Divine Woman,1927,Seastrom,17.650000
p-BRB3,Don's Party,1976,Beresford,14.360000
p-VSj6,The Scarlet Letter,1926,Seastrom,12.450000
p-VSj8,The Wind,1927,Seastrom,5.380000
p-SiA10,The Minotaur,1960,Amadio,18.820000
p-RdM30,The 300 Spartans,1962,Mate,7.760000
p-Z8910,Meet the Applegates,1989,UnYear89,16.040001
p-JTo3,Exposed,1983,Toback,15.740000
p-RBt6,The Guinea Pig,1948,R.Boulting,18.260000
p-MLt10,Class of '84,1982,M.Lester,15.120000
p-GrR3,Intermezzo,1939,Ratoff,5.620000
p-RLi10,Table for Five,1982,Lieberman,8.890000
p-RAl104,Cookie's Fortune,1999,Altman,7.140000
p-ArF10,\UN,1925,Fanck,9.720000
p-GM226,The Perils of Pauline,1947,Geo.Marshall,18.570000
p-GM227,Variety Girl,1947,Geo.Marshall,11.320000
p-WCr22,Deadly Friend,1986,W.Craven,10.260000
p-JuA102,Safe Conduct,1956,Addis,9.640000
p-MvC30,Tank,1984,Chomsky,13.870000
p-AlM10,The Photographer and the Undertaker,1965,March,9.250000
